Ticker,Commodity,Date,Close,Volume,Daily_Return,Log_Return
PA=F,Palladium,2000-01-04,441.8999939,177,24346.807089184967,1154.418083512769
PA=F,Palladium,2000-01-05,438.1000061,319,-2.166999182662826,-2.1763701764410572
PA=F,Palladium,2000-01-06,435.2999878,180,-1.6106016931644125,-1.6157706294268224
PA=F,Palladium,2000-01-07,443.8999939,102,4.978639094737913,4.930097146771279
PA=F,Palladium,2000-01-10,451.9500122,143,4.569958638154398,4.52901535138087
PA=F,Palladium,2000-01-11,449.3999939,133,-1.4218488643731217,-1.425875235367223
PA=F,Palladium,2000-01-12,452.25,103,1.598134283374737,1.593088080653025
PA=F,Palladium,2000-01-13,447.0,241,-2.925373134328345,-2.9424854747825786
PA=F,Palladium,2000-01-14,441.0,274,-3.382550335570465,-3.4054572300141506
PA=F,Palladium,2000-01-18,438.7000122,131,-1.3142787428571432,-1.317717945240761
PA=F,Palladium,2000-01-19,442.75,264,2.3264118924499098,2.3157390516971876
PA=F,Palladium,2000-01-20,451.7000122,201,5.094078090118594,5.043274237686403
PA=F,Palladium,2000-01-21,457.1000061,216,3.012615510396447,2.994750111292284
PA=F,Palladium,2000-01-24,470.25,212,7.2496136919216,7.147291913606915
PA=F,Palladium,2000-01-25,479.0,265,4.688995215311026,4.6459045659034395
PA=F,Palladium,2000-01-26,472.0,413,-3.682672233820458,-3.7098461799906826
PA=F,Palladium,2000-01-27,483.0,213,5.872881355932216,5.805492352888374
PA=F,Palladium,2000-01-28,485.8999939,442,1.513040295652191,1.5085161517258092
PA=F,Palladium,2000-01-31,484.7000122,80,-0.6223407948060933,-0.6231105307464456
PA=F,Palladium,2000-02-01,492.5499878,221,4.081274605752934,4.048577948794799
PA=F,Palladium,2000-02-02,502.25,404,4.962751263720582,4.9145166409285785
PA=F,Palladium,2000-02-03,514.0499878,201,5.920551370034843,5.852072409267057
PA=F,Palladium,2000-02-04,530.0,432,7.8190899130296145,7.700236309216076
PA=F,Palladium,2000-02-07,540.9000244,546,5.182653110943375,5.130079275186056
PA=F,Palladium,2000-02-08,579.7999878,616,18.123110250686114,17.50108032752545
PA=F,Palladium,2000-02-09,590.1500244,403,4.498463742810028,4.458784119219721
PA=F,Palladium,2000-02-10,580.0,344,-4.334162574000553,-4.371867279368255
PA=F,Palladium,2000-02-11,598.8499756,433,8.189989398620707,8.059717287288882
PA=F,Palladium,2000-02-14,605.5,257,2.7983739117981807,2.7829504947870074
