Date,Copper,Gold,Palladium,Platinum,Silver,sp500,vix,is_panic_day
2006-03-28,0.0076474729444392375,-0.0007057594200450268,-0.0019127318487184297,0.005413536364400784,-0.002030023706065087,-0.006458998725721976,11.579999923706056,0
2006-03-29,-0.007041543523416793,0.011232172407033225,-0.014388755690604604,0.0024172338819186123,0.02255904047472468,0.0074419354889663225,10.949999809265137,0
2006-03-30,0.010843459783499987,0.023627920023331583,0.0457047040479317,0.012733081161479198,0.048045913615172076,-0.0020283315831610693,11.56999969482422,0
2006-03-31,-0.006210605547193215,-0.008386911658461393,-0.03930064923206178,-0.0291169140113956,-0.011949271180555332,-0.004146253429841984,11.390000343322754,0
2006-04-03,0.03514675277724555,0.012978386645873918,0.028104912944415084,0.015175889541017007,0.020946336628039575,0.0022679734297250675,11.56999969482422,0
2006-04-04,-0.0013590856816955155,-0.005785322148471828,-0.01176053567306834,0.004174984124285075,-0.0029900366953383717,0.006237198100456531,11.140000343322754,0
2006-04-05,0.020956300364702418,0.0032371173587728563,0.0008758768237875358,-0.011640491158712685,-0.0019697487460508256,0.004301841324002353,11.130000114440918,0
2006-04-06,0.018286892888360162,0.012340597092221905,0.043963107140706725,0.016903971778877924,0.02889690830374647,-0.0019232391163139795,11.449999809265137,0
2006-04-07,-0.002244265697801562,-0.011490473808437152,-0.013779728787994827,-0.01755981736047918,0.0023292480494250256,-0.010397352959045314,12.260000228881836,0
2006-04-10,0.02532718442821491,0.0155145627455191,0.018794416343228093,0.02590578709676894,0.04022692123779459,0.0008641538115483627,12.1899995803833,0
2006-04-11,0.004553257780380182,-0.004024088937081949,-0.03924851985736577,-0.01037424849693469,0.0035056741760457477,-0.007781154126378809,13.0,0
2006-04-12,0.025122502730136054,0.0038567797776591917,0.011351546960038483,0.007722068624422818,0.00499820361077985,0.001204066548337046,12.760000228881836,0
2006-04-13,0.016346252642862824,-0.001675042267695659,-0.0012867603438984077,-0.010864713348916588,0.015080429602640333,0.0007760240055052492,12.380000114440918,0
2006-04-17,0.03326207012364124,0.031193261021829954,0.03638300575223585,0.020978211887172193,0.03913676474223271,-0.0029443507331157193,12.579999923706056,0
2006-04-18,0.03121106665519613,0.007446975479337148,0.007010786156390836,0.009922506308456036,0.030998797213201534,0.016933204646026212,11.399999618530272,0
